sample_name,fastq_R1,fastq_R2
Ca1,Ca1_1.fq.gz,Ca1_2.fq.gz
Ca2,Ca2_1.fq.gz,Ca2_2.fq.gz
Ca3,Ca3_1.fq.gz,Ca3_2.fq.gz
Ca4,Ca4_1.fq.gz,Ca4_2.fq.gz
CaKp1,CaKp1_1.fq.gz,CaKp1_2.fq.gz
CaKp2,CaKp2_1.fq.gz,CaKp2_2.fq.gz
CaKp3,CaKp3_1.fq.gz,CaKp3_2.fq.gz
CaKp4,CaKp4_1.fq.gz,CaKp4_2.fq.gz
CaKp5,CaKp5_1.fq.gz,CaKp5_2.fq.gz
CaKp6,CaKp6_1.fq.gz,CaKp6_2.fq.gz
CaKp7,CaKp7_1.fq.gz,CaKp7_2.fq.gz
Candida1,Candida1_1.fq.gz,Candida1_2.fq.gz
Candida2,Candida2_1.fq.gz,Candida2_2.fq.gz
Candida3,Candida3_1.fq.gz,Candida3_2.fq.gz
Candida4,Candida4_1.fq.gz,Candida4_2.fq.gz
Candida_Kp1,Candida_Kp1_1.fq.gz,Candida_Kp1_2.fq.gz
Candida_Kp2,Candida_Kp2_1.fq.gz,Candida_Kp2_2.fq.gz
Candida_Kp3,Candida_Kp3_1.fq.gz,Candida_Kp3_2.fq.gz
Candida_Kp4,Candida_Kp4_1.fq.gz,Candida_Kp4_2.fq.gz
Klebsiella1,Klebsiella1_1.fq.gz,Klebsiella1_2.fq.gz
Klebsiella2,Klebsiella2_1.fq.gz,Klebsiella2_2.fq.gz
Klebsiella3,Klebsiella3_1.fq.gz,Klebsiella3_2.fq.gz
Klebsiella4,Klebsiella4_1.fq.gz,Klebsiella4_2.fq.gz
Kp1,Kp1_1.fq.gz,Kp1_2.fq.gz
Kp2,Kp2_1.fq.gz,Kp2_2.fq.gz
Kp3,Kp3_1.fq.gz,Kp3_2.fq.gz
Kp4,Kp4_1.fq.gz,Kp4_2.fq.gz
