KPN_RS28480	GO:0031554,GO:0031556
KPN_RS00010	GO:0008652,GO:0009067,GO:0004072,GO:0004412,GO:0050661
KPN_RS00015	GO:0009088,GO:0004413
KPN_RS00020	GO:0009088,GO:0004795
KPN_RS00035	GO:0006814,GO:0006865,GO:0005283,GO:0015293,GO:0016020
KPN_RS00040	GO:0006098,GO:0004801
KPN_RS00045	GO:0006777
KPN_RS00050	GO:0055085,GO:0022857
KPN_RS00055	GO:0016020
KPN_RS00070	GO:0006457,GO:0005524,GO:0016887
KPN_RS00075	GO:0006457,GO:0009408,GO:0005515
KPN_RS00080	GO:0006814,GO:1902600,GO:0015385
KPN_RS00085	GO:0006355,GO:0003700
KPN_RS00095	GO:0006412,GO:0003735,GO:0000312,GO:0022627
KPN_RS00100	GO:0003919
KPN_RS00105	GO:0006428,GO:0004822,GO:0005737
KPN_RS00110	GO:0006508,GO:0009306,GO:0004190,GO:0005886
KPN_RS00115	GO:0003755
KPN_RS00120	GO:0019288,GO:0050992,GO:0046872,GO:0051745
KPN_RS00125	GO:0016799
KPN_RS00130	GO:0005886
KPN_RS00135	GO:0001216
KPN_RS00150	GO:0007165,GO:0000155,GO:0004673,GO:0005524
KPN_RS00160	GO:0006814,GO:0008948,GO:0015081
KPN_RS00175	GO:0006101,GO:0008771
KPN_RS00180	GO:0006113,GO:0008815,GO:0009346
KPN_RS00185	GO:0006113,GO:0008815,GO:0009346
KPN_RS00190	GO:0006113,GO:0008814,GO:0008815,GO:0009346
KPN_RS00195	GO:0019361,GO:0046917
KPN_RS00200	GO:0009089,GO:0008839
KPN_RS00215	GO:0009220,GO:0004088,GO:0005951
KPN_RS00220	GO:0006807,GO:0005524,GO:0046872
KPN_RS00225	GO:0005886
KPN_RS00230	GO:0006813
KPN_RS00235	GO:0006813,GO:0015503
KPN_RS00240	GO:0046654,GO:0004146
KPN_RS00245	GO:0006139,GO:0008803
KPN_RS00255	GO:0000179
KPN_RS00260	GO:0008615,GO:0050570
KPN_RS00265	GO:0006457,GO:0043165,GO:0050821,GO:0060274,GO:0003755,GO:0042277,GO:0051082,GO:0030288
KPN_RS00270	GO:0010033,GO:0015920,GO:0043165,GO:0019867
KPN_RS00275	GO:0051087
KPN_RS00280	GO:0000160
KPN_RS00285	GO:0007165,GO:0000155,GO:0004673,GO:0005524
KPN_RS00300	GO:0051191,GO:0050519
KPN_RS00305	GO:0001522,GO:0009451,GO:0003723,GO:0009982
KPN_RS00310	GO:0006355,GO:0005524,GO:0016817,GO:0140658
KPN_RS00315	GO:0003677,GO:0003887
KPN_RS00320	GO:0019568,GO:0008742
KPN_RS00325	GO:0005996,GO:0008733
KPN_RS00330	GO:0019568,GO:0008741
KPN_RS00340	GO:0006355,GO:0003700,GO:0043565
KPN_RS00345	GO:0055085
KPN_RS00360	GO:0015888,GO:0030974,GO:0030975,GO:0030976,GO:0048502,GO:0009897,GO:0030288,GO:0055052
KPN_RS00370	GO:0046325
KPN_RS00380	GO:0008643,GO:0005351
KPN_RS00385	GO:0055085,GO:0022857
KPN_RS00395	GO:0009423,GO:0003855
KPN_RS00400	GO:0055085,GO:0022857
KPN_RS00405	GO:0019632,GO:0004764,GO:0050661
KPN_RS00410	GO:0016491
KPN_RS00415	GO:0009098,GO:0003861,GO:0009316
KPN_RS00420	GO:0009098,GO:0003861,GO:0009316
KPN_RS00425	GO:0009098,GO:0003862
KPN_RS00430	GO:0019752,GO:0003852
KPN_RS28495	GO:0009098
KPN_RS00440	GO:0006355,GO:0003700
KPN_RS00445	GO:0009082,GO:0000287,GO:0003984,GO:0030976,GO:0050660
KPN_RS00450	GO:0009082,GO:1990610
KPN_RS00455	GO:0006355,GO:0009750,GO:0003677
KPN_RS00460	GO:0051302,GO:0043565
KPN_RS00465	GO:0016434
KPN_RS00480	GO:0008360,GO:0009058,GO:0051301,GO:0005524,GO:0016881
KPN_RS00485	GO:0009058,GO:0071555,GO:0005524,GO:0047480
KPN_RS00490	GO:0009252,GO:0008963
KPN_RS00495	GO:0009252,GO:0008764
KPN_RS00500	GO:0051301
KPN_RS00505	GO:0009252,GO:0050511
KPN_RS00510	GO:0009252,GO:0008763
KPN_RS00515	GO:0009252,GO:0005524,GO:0008716,GO:0046872
KPN_RS00520	GO:0090529
KPN_RS00525	GO:0051301,GO:0005515
KPN_RS00530	GO:0000910,GO:0003924
KPN_RS00535	GO:0009245,GO:0008759
KPN_RS00540	GO:0045182
KPN_RS00545	GO:0006605,GO:0006886,GO:0017038,GO:0005524
KPN_RS00550	GO:0006281,GO:0008413
KPN_RS00555	GO:0006355,GO:0008270
KPN_RS00565	GO:0015937,GO:0004140,GO:0005737
KPN_RS00575	GO:0009117,GO:0003920
KPN_RS00580	GO:0004827
KPN_RS00595	GO:0019363,GO:0004514
KPN_RS00600	GO:0009253,GO:0008745
KPN_RS00610	GO:0005975,GO:0004553
KPN_RS00615	GO:0055085,GO:0022857
KPN_RS00620	GO:0006865
KPN_RS00635	GO:0006086,GO:0004738,GO:0045250
KPN_RS00640	GO:0006096,GO:0004742,GO:0045254
KPN_RS00645	GO:0006096,GO:0045454,GO:0051068,GO:0004148
KPN_RS00670	GO:0006099,GO:0003994
KPN_RS00680	GO:0008295,GO:0004014
KPN_RS30270	GO:0003755
KPN_RS00705	GO:0005507,GO:0016491
