# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	190	258	+					thrL		KPN_RS28480	69		old_locus_tag=KPN_00001
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	190	258	+	WP_004222578.1	WP_004222578.1		thr operon leader peptide	thrL		KPN_RS28480	69	22	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	340	2802	+					thrA		KPN_RS00010	2463		old_locus_tag=KPN_00002
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	340	2802	+	WP_011977629.1	WP_011977629.1		bifunctional aspartate kinase/homoserine dehydrogenase I	thrA		KPN_RS00010	2463	820	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2804	3733	+					thrB		KPN_RS00015	930		old_locus_tag=KPN_00003
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	2804	3733	+	WP_002887853.1	WP_002887853.1		homoserine kinase	thrB		KPN_RS00015	930	309	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	3737	5017	+					thrC		KPN_RS00020	1281		old_locus_tag=KPN_00004
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	3737	5017	+	WP_011977630.1	WP_011977630.1		threonine synthase	thrC		KPN_RS00020	1281	426	
gene	pseudogene	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	5332	5710	+							KPN_RS00025	379		pseudo;old_locus_tag=KPN_00005
CDS	without_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	5332	5710	+				hypothetical protein			KPN_RS00025	379		pseudo
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	5779	6552	-					yaaA		KPN_RS00030	774		old_locus_tag=KPN_00006
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	5779	6552	-	WP_002887869.1	WP_002887869.1		peroxide stress protein YaaA	yaaA		KPN_RS00030	774	257	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	6630	8060	-							KPN_RS00035	1431		old_locus_tag=KPN_00007
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	6630	8060	-	WP_002887871.1	WP_002887871.1		alanine/glycine:cation symporter family protein			KPN_RS00035	1431	476	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	8263	9216	+					tal		KPN_RS00040	954		old_locus_tag=KPN_00008
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	8263	9216	+	WP_002887897.1	WP_002887897.1		transaldolase	tal		KPN_RS00040	954	317	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	9316	9903	+					mog		KPN_RS00045	588		old_locus_tag=KPN_00009
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	9316	9903	+	WP_002887898.1	WP_002887898.1		molybdopterin adenylyltransferase	mog		KPN_RS00045	588	195	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	10023	11327	+							KPN_RS00050	1305		old_locus_tag=KPN_00010
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	10023	11327	+	WP_004146012.1	WP_004146012.1		MFS transporter			KPN_RS00050	1305	434	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	11390	11956	-					satP		KPN_RS00055	567		old_locus_tag=KPN_00011
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	11390	11956	-	WP_011977632.1	WP_011977632.1		acetate uptake transporter	satP		KPN_RS00055	567	188	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	12045	12794	-					msyB		KPN_RS00060	750		old_locus_tag=KPN_00012
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	12045	12794	-	WP_004146011.1	WP_004146011.1		acidic protein MsyB	msyB		KPN_RS00060	750	249	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	12822	13226	-							KPN_RS00065	405		old_locus_tag=KPN_00013
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	12822	13226	-	WP_004182892.1	WP_004182892.1		DUF2541 family protein			KPN_RS00065	405	134	
gene	protein_coding	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	13612	15528	+					dnaK		KPN_RS00070	1917		old_locus_tag=KPN_00014
CDS	with_protein	GCF_000016305.1	Primary Assembly	chromosome		NC_009648.1	13612	15528	+	WP_004146997.1	WP_004146997.1		molecular chaperone DnaK	dnaK		KPN_RS00070	1917	638	
