RetainedRef	DuplicateRef
lcl|NC_009649.1_cds_WP_004199332.1_5036	lcl|NC_009650.1_cds_WP_004199332.1_5226
lcl|NC_009649.1_cds_WP_004152676.1_5205	lcl|NC_009650.1_cds_WP_004152676.1_5336
lcl|NC_009649.1_cds_WP_004152624.1_5211	lcl|NC_009650.1_cds_WP_004152624.1_5342
lcl|NC_009649.1_cds_WP_004178053.1_5218	lcl|NC_009650.1_cds_WP_004178053.1_5349
lcl|NC_009648.1_cds_WP_004152344.1_986	lcl|NC_009650.1_cds_WP_004152344.1_5270
lcl|NC_009649.1_cds_WP_004152623.1_5212	lcl|NC_009650.1_cds_WP_004152623.1_5343
lcl|NC_032091.1_cds_XP_719979.2_2617	lcl|NC_032091.1_cds_XP_719991.1_2626
lcl|NC_009649.1_cds_WP_004152620.1_5215	lcl|NC_009650.1_cds_WP_004152620.1_5346
lcl|NC_009648.1_cds_WP_004178082.1_1215	lcl|NC_009649.1_cds_WP_004178082.1_5152
lcl|NC_032091.1_cds_XP_716639.2_2919	lcl|NC_032091.1_cds_XP_716088.1_2941
lcl|NC_009648.1_cds_WP_001567368.1_1786	lcl|NC_009649.1_cds_WP_001567368.1_5085
lcl|NC_009649.1_cds_WP_004152674.1_5203	lcl|NC_009650.1_cds_WP_004152674.1_5334
lcl|NC_009649.1_cds_WP_004152299.1_5031	lcl|NC_009650.1_cds_WP_004152299.1_5221
lcl|NC_009649.1_cds_WP_004152294.1_5035	lcl|NC_009650.1_cds_WP_004152294.1_5225
lcl|NC_009649.1_cds_WP_004153029.1_5216	lcl|NC_009650.1_cds_WP_004153029.1_5347
lcl|NC_032093.1_cds_XP_714578.2_3933	lcl|NC_032093.1_cds_XP_720527.2_3934
lcl|NC_009650.1_cds_WP_001568067.1_5230	lcl|NC_009651.1_cds_WP_001568067.1_5436
lcl|NC_009650.1_cds_WP_000176305.1_5231	lcl|NC_009651.1_cds_WP_000176305.1_5435
lcl|NC_009649.1_cds_WP_223174630.1_5112	lcl|NC_009650.1_cds_WP_223174630.1_5255
lcl|NC_009648.1_cds_WP_095033700.1_778	lcl|NC_009648.1_cds_WP_095033700.1_2966
lcl|NC_009649.1_cds_WP_004152679.1_5209	lcl|NC_009650.1_cds_WP_004152679.1_5340
lcl|NC_032091.1_cds_XP_719981.2_2618	lcl|NC_032091.1_cds_XP_719989.1_2625
lcl|NC_009649.1_cds_WP_011977731.1_5210	lcl|NC_009650.1_cds_WP_011977731.1_5341
lcl|NC_009648.1_cds_WP_004152342.1_988	lcl|NC_009650.1_cds_WP_004152342.1_5268
lcl|NC_009648.1_cds_WP_004152343.1_987	lcl|NC_009650.1_cds_WP_004152343.1_5269
lcl|NC_009649.1_cds_WP_011977786.1_5201	lcl|NC_009650.1_cds_WP_011977786.1_5332
lcl|NC_009649.1_cds_WP_004152301.1_5029	lcl|NC_009650.1_cds_WP_004152301.1_5219
lcl|NC_009648.1_cds_WP_001567369.1_1787	lcl|NC_009649.1_cds_WP_001567369.1_5084
lcl|NC_009649.1_cds_WP_004152677.1_5206	lcl|NC_009650.1_cds_WP_004152677.1_5337
lcl|NC_009650.1_cds_WP_001568042.1_5284	lcl|NC_009651.1_cds_WP_001568042.1_5364
lcl|NC_009649.1_cds_WP_004171457.1_5037	lcl|NC_009650.1_cds_WP_004171457.1_5227
lcl|NC_009648.1_cds_WP_000427619.1_4002	lcl|NC_009649.1_cds_WP_000427619.1_5049
lcl|NC_009648.1_cds_WP_000427619.1_4002	lcl|NC_009649.1_cds_WP_000427619.1_5059
lcl|NC_009648.1_cds_WP_000427619.1_4002	lcl|NC_009651.1_cds_WP_000427619.1_5373
lcl|NC_032091.1_cds_XP_719978.1_2616	lcl|NC_032091.1_cds_XP_719992.1_2627
lcl|NC_032093.1_cds_XP_711428.2_4072	lcl|NC_032093.1_cds_XP_711434.2_4077
lcl|NC_009649.1_cds_WP_085955172.1_5133	lcl|NC_009649.1_cds_WP_085955172.1_5139
lcl|NC_009649.1_cds_KPN_RS32480_5034	lcl|NC_009650.1_cds_KPN_RS32520_5224
lcl|NC_009649.1_cds_WP_004228432.1_5032	lcl|NC_009650.1_cds_WP_004228432.1_5222
lcl|NC_032091.1_cds_XP_716082.1_2921	lcl|NC_032091.1_cds_XP_019330878.1_2936
lcl|NC_009650.1_cds_WP_001067855.1_5233	lcl|NC_009651.1_cds_WP_001067855.1_5352
lcl|NC_009650.1_cds_WP_001067855.1_5233	lcl|NC_009651.1_cds_WP_001067855.1_5368
lcl|NC_009650.1_cds_WP_001067855.1_5233	lcl|NC_009651.1_cds_WP_001067855.1_5381
lcl|NC_009650.1_cds_WP_001067855.1_5233	lcl|NC_009651.1_cds_WP_001067855.1_5425
lcl|NC_009650.1_cds_WP_001067855.1_5233	lcl|NC_009651.1_cds_WP_001067855.1_5431
lcl|NC_009650.1_cds_WP_001067855.1_5233	lcl|NC_009651.1_cds_WP_001067855.1_5438
lcl|NC_009650.1_cds_WP_001067855.1_5233	lcl|NC_009651.1_cds_WP_001067855.1_5452
lcl|NC_009650.1_cds_WP_004201125.1_5229	lcl|NC_009651.1_cds_WP_004201125.1_5437
lcl|NC_009649.1_cds_WP_004152622.1_5213	lcl|NC_009650.1_cds_WP_004152622.1_5344
lcl|NC_009649.1_cds_WP_004198206.1_5214	lcl|NC_009650.1_cds_WP_004198206.1_5345
lcl|NC_009648.1_cds_WP_004152345.1_985	lcl|NC_009650.1_cds_WP_004152345.1_5271
lcl|NC_009649.1_cds_WP_004178052.1_5030	lcl|NC_009650.1_cds_WP_004178052.1_5220
lcl|NC_009649.1_cds_WP_004152673.1_5202	lcl|NC_009650.1_cds_WP_004152673.1_5333
lcl|NC_009649.1_cds_WP_004152303.1_5217	lcl|NC_009650.1_cds_WP_004152303.1_5348
lcl|NC_009649.1_cds_WP_011977736.1_5179	lcl|NC_009650.1_cds_WP_011977736.1_5310
lcl|NC_009649.1_cds_WP_004152675.1_5204	lcl|NC_009650.1_cds_WP_004152675.1_5335
lcl|NC_009649.1_cds_WP_004152296.1_5033	lcl|NC_009650.1_cds_WP_004152296.1_5223
lcl|NC_009648.1_cds_WP_000019473.1_277	lcl|NC_009648.1_cds_WP_000019473.1_1858
lcl|NC_009648.1_cds_WP_000019473.1_277	lcl|NC_009648.1_cds_WP_000019473.1_2169
lcl|NC_009648.1_cds_WP_000019473.1_277	lcl|NC_009649.1_cds_WP_000019473.1_5069
lcl|NC_009649.1_cds_WP_004152292.1_5038	lcl|NC_009650.1_cds_WP_004152292.1_5228
lcl|NC_009649.1_cds_WP_004144400.1_5207	lcl|NC_009650.1_cds_WP_004144400.1_5338
lcl|NC_009649.1_cds_WP_013214031.1_5208	lcl|NC_009650.1_cds_WP_013214031.1_5339
