lcl|NC_032089.1_cds_XP_719073.1_1	CAALFM_C100020CA
lcl|NC_032089.1_cds_XP_719072.1_2	CAALFM_C100030CA
lcl|NC_032089.1_cds_XP_719071.2_3	CAALFM_C100040WA
lcl|NC_032089.1_cds_XP_719068.2_4	CAALFM_C100060WA
lcl|NC_032089.1_cds_XP_019330598.1_5	CAALFM_C100070WA
lcl|NC_032089.1_cds_XP_719061.1_6	CAALFM_C100080CA
lcl|NC_032089.1_cds_XP_719062.1_7	CAALFM_C100090WA
lcl|NC_032089.1_cds_XP_719059.1_8	CAALFM_C100100CA
lcl|NC_032089.1_cds_XP_719058.1_9	CAALFM_C100110WA
lcl|NC_032089.1_cds_XP_719055.1_10	CAALFM_C100120CA
lcl|NC_032089.1_cds_XP_719053.1_11	CAALFM_C100130CA
lcl|NC_032089.1_cds_XP_719052.1_12	CAALFM_C100140WA
lcl|NC_032089.1_cds_XP_719051.1_13	CAALFM_C100150CA
lcl|NC_032089.1_cds_XP_719050.1_14	CAALFM_C100160CA
lcl|NC_032089.1_cds_XP_719048.1_15	CAALFM_C100170WA
lcl|NC_032089.1_cds_XP_719047.1_16	CAALFM_C100180WA
lcl|NC_032089.1_cds_XP_719046.1_17	CAALFM_C100190CA
lcl|NC_032089.1_cds_XP_719045.1_18	CAALFM_C100200CA
lcl|NC_032089.1_cds_XP_719044.2_19	CAALFM_C100210CA
lcl|NC_032089.1_cds_XP_719043.1_20	CAALFM_C100220WA
lcl|NC_032089.1_cds_XP_719042.1_21	CAALFM_C100230CA
lcl|NC_032089.1_cds_XP_719041.2_22	CAALFM_C100270WA
lcl|NC_032089.1_cds_XP_019330599.1_23	CAALFM_C100280CA
lcl|NC_032089.1_cds_XP_719040.2_24	CAALFM_C100290WA
lcl|NC_032089.1_cds_XP_719039.1_25	CAALFM_C100310WA
lcl|NC_032089.1_cds_XP_719038.1_26	CAALFM_C100320WA
lcl|NC_032089.1_cds_XP_719037.2_27	CAALFM_C100330CA
lcl|NC_032089.1_cds_XP_719036.1_28	CAALFM_C100340WA
lcl|NC_032089.1_cds_XP_719035.1_29	CAALFM_C100350CA
lcl|NC_032089.1_cds_XP_719034.1_30	CAALFM_C100360WA
lcl|NC_032089.1_cds_XP_019330600.1_31	CAALFM_C100370WA
lcl|NC_032089.1_cds_XP_719033.1_32	CAALFM_C100380CA
lcl|NC_032089.1_cds_XP_719032.1_33	CAALFM_C100390WA
